,Date,predicted
199,2024-02-27,[19713.291]
200,2024-02-28,[19703.916]
201,2024-02-29,[19684.34]
202,2024-03-01,[19671.719]
203,2024-03-04,[19676.62]
204,2024-03-05,[19673.281]
205,2024-03-06,[19664.955]
206,2024-03-07,[19647.324]
207,2024-03-08,[19640.615]
208,2024-03-11,[19661.137]
209,2024-03-12,[19681.688]
210,2024-03-13,[19683.352]
211,2024-03-14,[19675.342]
212,2024-03-15,[19678.268]
213,2024-03-18,[19693.332]
214,2024-03-19,[19707.672]
215,2024-03-20,[19715.46]
216,2024-03-21,[19725.635]
217,2024-03-22,[19717.152]
218,2024-03-25,[19711.139]
219,2024-03-26,[19718.11]
220,2024-03-27,[19711.436]
221,2024-03-28,[19702.424]
222,2024-03-29,[19688.273]
223,2024-04-01,[19657.738]
224,2024-04-02,[19668.748]
225,2024-04-03,[19663.31]
226,2024-04-04,[19640.31]
227,2024-04-05,[19646.072]
228,2024-04-08,[19641.252]
229,2024-04-09,[19644.342]
230,2024-04-10,[19636.68]
231,2024-04-11,[19661.193]
232,2024-04-12,[19660.67]
233,2024-04-15,[19654.328]
234,2024-04-16,[19655.268]
235,2024-04-17,[19656.613]
236,2024-04-19,[19674.523]
237,2024-04-22,[19679.928]
238,2024-04-23,[19689.553]
239,2024-04-24,[19690.617]
240,2024-04-25,[19699.406]
241,2024-04-26,[19710.82]
242,2024-05-02,[19723.24]
243,2024-05-03,[19723.986]
