,Date,predicted
174,2022-08-23,[65404.21]
175,2022-08-24,[65270.176]
176,2022-08-25,[64866.16]
177,2022-08-26,[65494.77]
178,2022-08-27,[63694.992]
179,2022-08-28,[64069.035]
180,2022-08-29,[64804.793]
181,2022-08-30,[62948.53]
182,2022-08-31,[66358.61]
183,2022-09-01,[68488.68]
184,2022-09-02,[68156.19]
185,2022-09-03,[67624.23]
186,2022-09-04,[67896.95]
187,2022-09-05,[68647.805]
188,2022-09-06,[68557.945]
189,2022-09-07,[68579.375]
190,2022-09-08,[68116.91]
191,2022-09-09,[66267.75]
192,2022-09-10,[68739.5]
193,2022-09-11,[69017.41]
