,Date,predicted
174,2024-01-16,[22821.98]
175,2024-01-17,[22831.678]
176,2024-01-18,[22850.88]
177,2024-01-19,[22867.412]
178,2024-01-22,[22885.535]
179,2024-01-23,[22893.867]
180,2024-01-24,[22878.912]
181,2024-01-25,[22865.225]
182,2024-01-26,[22873.676]
183,2024-01-29,[22884.973]
184,2024-01-30,[22909.809]
185,2024-01-31,[22925.11]
186,2024-02-01,[22999.643]
187,2024-02-02,[23009.719]
188,2024-02-05,[23024.691]
189,2024-02-06,[23035.299]
190,2024-02-07,[23036.674]
191,2024-02-15,[23018.273]
192,2024-02-16,[22983.887]
193,2024-02-19,[22949.418]
194,2024-02-20,[22925.54]
195,2024-02-21,[22951.76]
196,2024-02-22,[22994.102]
197,2024-02-23,[23014.57]
198,2024-02-26,[23024.066]
199,2024-02-27,[23016.299]
200,2024-02-28,[23009.262]
201,2024-02-29,[23009.283]
202,2024-03-01,[23007.645]
203,2024-03-04,[23003.541]
204,2024-03-05,[22992.693]
205,2024-03-06,[22947.705]
206,2024-03-07,[22911.129]
207,2024-03-08,[22876.824]
208,2024-03-11,[22877.48]
209,2024-03-12,[22922.168]
210,2024-03-13,[22992.896]
211,2024-03-14,[22991.432]
212,2024-03-15,[22994.105]
213,2024-03-18,[22971.293]
214,2024-03-19,[22975.166]
215,2024-03-20,[23008.844]
216,2024-03-21,[23017.469]
217,2024-03-22,[23026.295]
218,2024-03-25,[23021.23]
219,2024-03-26,[23017.928]
220,2024-03-27,[23015.842]
221,2024-03-28,[23010.26]
222,2024-03-29,[23000.738]
223,2024-04-01,[22983.924]
224,2024-04-02,[22945.115]
225,2024-04-03,[22892.781]
226,2024-04-04,[22818.838]
227,2024-04-05,[22757.596]
228,2024-04-08,[22754.4]
229,2024-04-09,[22806.45]
230,2024-04-10,[22822.414]
231,2024-04-11,[22850.629]
232,2024-04-12,[22865.734]
233,2024-04-15,[22788.992]
234,2024-04-16,[22831.617]
235,2024-04-17,[22774.406]
236,2024-04-19,[22815.334]
237,2024-04-22,[22876.607]
238,2024-04-23,[22882.805]
239,2024-04-24,[22943.87]
240,2024-04-25,[22940.945]
241,2024-04-26,[22952.924]
242,2024-05-02,[22969.28]
243,2024-05-03,[22986.797]
