Date,Close,Open,High,Low
2019-01-28,7596.0,7846.0,7846.0,7596.0
2019-01-29,7596.0,7638.0,7846.0,7596.0
2019-01-30,7596.0,7755.0,7755.0,7512.0
2019-01-31,7671.0,7763.0,7763.0,7596.0
2019-02-01,7671.0,7846.0,7846.0,7671.0
2019-02-11,7688.0,7846.0,7846.0,7688.0
2019-02-12,7763.0,7846.0,7846.0,7680.0
2019-02-13,7763.0,7780.0,7846.0,7496.0
2019-02-14,7846.0,7846.0,8013.0,7846.0
2019-02-15,8038.0,7846.0,8097.0,7846.0
2019-02-18,8180.0,8038.0,8347.0,8022.0
2019-02-19,8097.0,8264.0,8264.0,8097.0
2019-02-20,8431.0,7930.0,8514.0,7930.0
2019-02-21,8514.0,8514.0,8514.0,8347.0
2019-02-22,8514.0,8514.0,8598.0,8472.0
2019-02-25,8431.0,8514.0,8598.0,8431.0
2019-02-26,8514.0,8598.0,8598.0,8431.0
2019-02-27,8514.0,8598.0,8598.0,8431.0
2019-02-28,8514.0,8347.0,8514.0,8347.0
2019-03-01,8514.0,8514.0,8514.0,8431.0
2019-03-04,8598.0,8514.0,8598.0,8431.0
2019-03-05,8431.0,8431.0,8514.0,8347.0
2019-03-06,8514.0,8431.0,8514.0,8431.0
2019-03-07,8598.0,8514.0,8598.0,8514.0
2019-03-08,8598.0,8598.0,8598.0,8431.0
2019-03-11,8514.0,8598.0,8598.0,8514.0
2019-03-12,8431.0,8431.0,8431.0,8347.0
2019-03-13,8681.0,8514.0,8681.0,8389.0
2019-03-14,8681.0,8681.0,8681.0,8514.0
2019-03-15,8598.0,8681.0,8681.0,8472.0
2019-03-18,8347.0,8598.0,8598.0,8347.0
2019-03-19,8347.0,8389.0,8389.0,8306.0
2019-03-20,8347.0,8347.0,8347.0,8306.0
2019-03-21,8431.0,8431.0,8431.0,8347.0
2019-03-22,8264.0,8431.0,8431.0,8264.0
2019-03-25,8347.0,8431.0,8431.0,8347.0
2019-03-26,8347.0,8264.0,8347.0,8264.0
2019-03-27,8306.0,8347.0,8389.0,8264.0
2019-03-28,8264.0,8306.0,8431.0,8180.0
2019-03-29,8264.0,8431.0,8431.0,8180.0
2019-04-01,8347.0,8264.0,8347.0,8264.0
2019-04-02,8347.0,8347.0,8347.0,8347.0
2019-04-03,8264.0,8347.0,8347.0,8097.0
2019-04-04,8264.0,8097.0,8264.0,8097.0
2019-04-05,8097.0,8347.0,8347.0,8097.0
2019-04-08,8264.0,8347.0,8347.0,8264.0
2019-04-09,8097.0,8339.0,8339.0,7972.0
2019-04-10,8264.0,8264.0,8264.0,8013.0
2019-04-11,8264.0,8264.0,8264.0,8264.0
2019-04-12,8097.0,8264.0,8264.0,8013.0
2019-04-16,8080.0,8013.0,8080.0,8013.0
2019-04-17,8180.0,8180.0,8180.0,8080.0
2019-04-18,8030.0,8180.0,8180.0,8030.0
2019-04-19,8130.0,8097.0,8180.0,8097.0
2019-04-22,8264.0,8556.0,8556.0,8264.0
