Date,Close,Open,High,Low
2024-05-14,27250.0,27300.0,27550.0,27200.0
2024-05-15,27800.0,27350.0,27900.0,27300.0
2024-05-16,28400.0,28100.0,28650.0,28100.0
2024-05-17,28500.0,28500.0,28550.0,28300.0
2024-05-20,28300.0,28750.0,28750.0,28200.0
2024-05-21,28300.0,28300.0,28450.0,27850.0
2024-05-22,28000.0,28300.0,28400.0,27950.0
2024-05-23,28550.0,27900.0,28550.0,27700.0
2024-05-24,28700.0,28450.0,29250.0,28300.0
2024-05-27,28700.0,28800.0,28950.0,28350.0
2024-05-28,28850.0,28800.0,29000.0,28600.0
2024-05-29,28250.0,28900.0,28900.0,28250.0
2024-05-30,27850.0,28000.0,28250.0,27600.0
2024-05-31,27850.0,28050.0,28200.0,27800.0
2024-06-03,29750.0,28100.0,29750.0,28100.0
2024-06-04,29950.0,30500.0,30600.0,29850.0
2024-06-05,29600.0,30000.0,30400.0,29600.0
2024-06-06,30700.0,29950.0,31100.0,29650.0
2024-06-07,30750.0,30700.0,31100.0,30700.0
2024-06-10,31100.0,31200.0,31700.0,31050.0
2024-06-11,31200.0,31200.0,31350.0,30700.0
2024-06-12,31350.0,31250.0,31350.0,30900.0
2024-06-13,31650.0,31500.0,31900.0,31250.0
2024-06-14,30550.0,31550.0,31900.0,30300.0
